gene name	UniProt ID	logFC	P.Value
CD109	Q6YHK3	0.36573656	2.09E-09
ERBB4	Q15303	0.226363716	2.23E-09
EPHB6	O15197	0.388026382	2.77E-09
GALNT2	Q10471	0.244573891	3.27E-09
CX3CL1	P78423	0.271233774	3.28E-09
PDGFB	P01127	0.296091691	3.29E-09
NCAM1	P13591	0.295067237	3.38E-09
TNFRSF14	Q92956	0.327206524	4.40E-09
ADM	P35318	0.23163242	4.57E-09
CD274	Q9NZQ7	0.284014674	4.59E-09
ERBB3	P21860	0.233274216	4.72E-09
WNT9A	O14904	0.189101325	5.35E-09
CXCL13	O43927	0.406437069	5.65E-09
LTBR	P36941	0.306654062	5.90E-09
SPRY2	O43597	0.363139485	7.54E-09
CD46	P15529	0.278094873	7.60E-09
ACVRL1	P37023	0.264600965	8.40E-09
AREG	P15514	0.181263146	9.29E-09
CD59	P13987	0.237607156	9.32E-09
RELT	Q969Z4	0.323059406	9.84E-09
SOST	Q9BQB4	0.544780682	1.02E-08
SELPLG	Q14242	0.234638934	1.07E-08
CRTAC1	Q9NQ79	0.365413039	1.36E-08
TGFBR3	Q03167	0.315397268	2.08E-08
IL10RB	Q08334	0.245706639	2.10E-08
MANF	P55145	0.258984073	2.10E-08
CCL25	O15444	0.268295601	2.17E-08
PTPRS	Q13332	0.275710959	2.20E-08
TNC	P24821	0.250820432	2.47E-08
P4HB	P07237	0.217984515	2.63E-08
TNFRSF10B	O14763	0.269880515	3.41E-08
CNTN5	O94779	0.240713462	3.46E-08
CXADR	P78310	0.280169178	3.71E-08
SIGLEC1	Q9BZZ2	0.281301293	3.75E-08
AMIGO2	Q86SJ2	0.191612026	3.84E-08
IL17RA	Q96F46	0.317683703	3.84E-08
TMPRSS5	Q9H3S3	0.312291666	4.03E-08
CNTNAP2	Q9UHC6	0.237037034	4.08E-08
CD74	P04233	0.341871171	4.09E-08
LAYN	Q6UX15	0.294320578	4.19E-08
HMOX1	P09601	0.337263775	4.75E-08
GFRA1	P56159	0.239344768	4.77E-08
PDGFA	P04085	0.247209097	6.03E-08
COLEC12	Q5KU26	0.209513798	6.28E-08
KDR	P35968	0.242225181	6.30E-08
PTPRF	P10586	0.348129852	6.34E-08
ITGAV	P06756	0.174215517	6.63E-08
ALCAM	Q13740	0.2795197	7.20E-08
SPINT2	O43291	0.275249046	8.18E-08
SELP	P16109	0.481313623	8.42E-08
ST3GAL1	Q11201	0.246902953	8.60E-08
TIMP1	P01033	0.231392515	8.86E-08
TNFRSF19	Q9NS68	0.284329802	1.00E-07
HS6ST1	O60243	0.355136281	1.01E-07
CD209	Q9NNX6	0.357492683	1.02E-07
OSMR	Q99650	0.175395721	1.03E-07
EIF4EBP1	Q13541	0.344382185	1.16E-07
THBS4	P35443	0.265654038	1.22E-07
NRP2	O60462	0.208432391	1.26E-07
MATN3	O15232	0.292568056	1.33E-07
CNTN1	Q12860	0.198672992	1.33E-07
TNR	Q92752	0.161507282	1.36E-07
F2R	P25116	0.676850701	1.59E-07
RSPO1	Q2MKA7	0.151103148	1.70E-07
GAL	P22466	0.271184669	1.82E-07
DAG1	Q14118	0.309669338	2.14E-07
ADA	P00813	0.266697441	2.20E-07
CD40	P25942	0.233151892	2.40E-07
TFF3	Q07654	0.302310486	2.40E-07
PVALB	P20472	0.117985039	2.67E-07
ADAM8	P78325	0.18656234	2.98E-07
BGN	P21810	0.134826447	3.06E-07
GH1	P01241	0.54762802	3.19E-07
CXCL17	Q6UXB2	0.24259901	3.20E-07
TNFRSF9	Q07011	0.219564115	3.24E-07
BCAM	P50895	0.285993548	3.49E-07
SPP1	P10451	-0.101962582	3.51E-07
CCL2	P13500	0.244527903	3.83E-07
GALNT10	Q86SR1	0.177594749	4.04E-07
ICAM2	P13598	0.273351852	4.10E-07
ERBB2	P04626	0.199722083	4.39E-07
SORCS2	Q96PQ0	0.083463839	5.26E-07
PLXNB3	Q9ULL4	0.240768695	5.66E-07
PDGFRB	P09619	0.263959022	5.77E-07
CCL23	P55773	0.244948292	6.00E-07
SEMA3F	Q13275	0.249648331	6.68E-07
PRDX5	P30044	0.157824058	6.90E-07
FOLR3	P41439	0.205130971	7.88E-07
IGFBPL1	Q8WX77	0.207624942	8.71E-07
CA14	Q9ULX7	0.192509064	9.56E-07
ITGB1	P05556	0.274718903	9.60E-07
LRP11	Q86VZ4	0.254454206	1.08E-06
CNDP1	Q96KN2	0.185770926	1.16E-06
DCBLD2	Q96PD2	0.184001498	1.26E-06
FRZB	Q92765	-0.098213751	1.31E-06
CCN4	O95388	0.251089048	1.43E-06
VWC2	Q2TAL6	0.235897876	1.45E-06
IGFBP3	P17936	0.285144934	1.47E-06
APLP1	P51693	-0.123869862	1.75E-06
CSF1	P09603	0.179137979	1.75E-06
SORT1	Q99523	0.192548114	1.80E-06
ADGRE2	Q9UHX3	0.235998383	1.97E-06
RETN	Q9HD89	0.405878447	2.00E-06
HBEGF	Q99075	0.083694197	2.11E-06
KYNU	Q16719	0.263827148	2.27E-06
NPPC	P23582	0.073997805	2.31E-06
SCGB3A2	Q96PL1	0.215983205	2.32E-06
SDC1	P18827	0.185512302	2.62E-06
CDH2	P19022	0.212451789	2.65E-06
LRPAP1	P30533	0.22310261	2.85E-06
CASP3	P42574	0.348583884	2.94E-06
NTRK3	Q16288	0.20715338	3.05E-06
SPOCK1	Q08629	0.137376602	3.06E-06
EGFR	P00533	0.234667351	3.13E-06
ESAM	Q96AP7	0.278679289	3.20E-06
FSTL3	O95633	0.331682009	3.28E-06
IL17D	Q8TAD2	0.223505426	3.29E-06
TLR3	O15455	0.230713446	3.32E-06
LPL	P06858	0.238091029	3.35E-06
HSPG2	P98160	0.194465546	3.44E-06
CD48	P09326	0.238481382	3.58E-06
CST6	Q15828	0.300790445	3.74E-06
CLMP	Q9H6B4	0.157451165	3.78E-06
MERTK	Q12866	0.187677459	3.87E-06
CD93	Q9NPY3	0.263221414	3.93E-06
CCL15	Q16663	0.289156093	4.08E-06
CDCP1	Q9H5V8	0.225483838	4.17E-06
CLEC14A	Q86T13	0.2785192	4.19E-06
NOMO1	Q15155	0.271067884	4.29E-06
TNFRSF6B	O95407	0.376609093	4.30E-06
COL18A1	P39060	0.233751003	4.75E-06
AXL	P30530	0.217340464	5.00E-06
SPINK1	P00995	0.354361329	5.17E-06
IL16	Q14005	0.191518171	5.32E-06
IL1RL1	Q01638	0.404880209	5.40E-06
MMP7	P09237	0.407401459	5.41E-06
CD58	P19256	0.232173392	5.42E-06
CD79B	P40259	0.229447723	5.67E-06
BAMBI	Q13145	0.173456572	5.84E-06
CPA2	P48052	0.272286957	5.99E-06
LTBP2	Q14767	0.266146445	6.47E-06
LRRN1	Q6UXK5	0.220468632	6.53E-06
CCL14	Q16627	0.268034979	7.18E-06
CANT1	Q8WVQ1	0.130498039	7.48E-06
CRIM1	Q9NZV1	0.238820393	7.84E-06
CXCL1	P09341	0.226240168	8.40E-06
GPC1	P35052	0.246383794	8.68E-06
CKAP4	Q07065	0.260533347	8.97E-06
PLXNB1	O43157	0.192030932	8.98E-06
PVR	P15151	0.231429524	9.88E-06
NOTCH3	Q9UM47	0.267311856	9.90E-06
DLL1	O00548	0.21680641	1.02E-05
PGLYRP1	O75594	0.312764311	1.03E-05
SPARCL1	Q14515	0.172703302	1.19E-05
CGA	P01215	0.34601514	1.26E-05
IL1R1	P14778	0.246159254	1.28E-05
GAS6	Q14393	0.205622663	1.29E-05
CLSTN2	Q9H4D0	0.17899342	1.36E-05
TGFBI	Q15582	0.25118203	1.39E-05
METRNL	Q641Q3	0.171868031	1.40E-05
TFF2	Q03403	0.312736559	1.42E-05
XG	P55808	0.335982099	1.47E-05
ANGPT1	Q15389	0.19608541	1.50E-05
SIGLEC10	Q96LC7	0.173519347	1.55E-05
PGF	P49763	0.268784394	1.58E-05
CXCL5	P42830	0.201381068	1.59E-05
IL7	P13232	0.15168818	1.62E-05
EPHB4	P54760	0.18200968	1.64E-05
CDH6	P55285	0.221646469	1.64E-05
NOTCH1	P46531	0.1994821	1.72E-05
CCL17	Q92583	0.27573441	1.73E-05
LRIG1	Q96JA1	0.242645632	1.85E-05
CCN3	P48745	0.168112308	1.88E-05
DKK4	Q9UBT3	0.206490434	1.88E-05
CHL1	O00533	0.227876006	1.93E-05
TGFA	P01135	0.150482919	2.12E-05
TFPI2	P48307	0.22854676	2.21E-05
VEGFD	O43915	0.231346515	2.22E-05
MMP2	P08253	0.242119973	2.25E-05
MEGF9	Q9H1U4	0.211979178	2.27E-05
KLK6	Q92876	-0.092261327	2.38E-05
CSF2RA	P15509	0.353994037	2.44E-05
WFDC2	Q14508	0.089655675	2.81E-05
CRH	P06850	0.258585763	2.84E-05
RGMA	Q96B86	0.088728711	2.96E-05
ESM1	Q9NQ30	0.226180446	3.13E-05
B4GALT1	P15291	0.250549952	3.38E-05
NBL1	P41271	-0.117833786	3.66E-05
YES1	P07947	0.144802116	3.76E-05
SEZ6L2	Q6UXD5	0.092174196	4.02E-05
PRTG	Q2VWP7	0.148130695	4.03E-05
EPHA2	P29317	0.120436918	4.07E-05
S100A4	P26447	0.225889318	4.48E-05
CCL28	Q9NRJ3	0.132795162	4.63E-05
LYVE1	Q9Y5Y7	0.208029919	4.67E-05
PEAR1	Q5VY43	0.232534221	4.76E-05
CXCL6	P80162	0.264839581	4.83E-05
PCOLCE	Q15113	0.200047671	5.00E-05
ADAM23	O75077	0.112107485	5.23E-05
PCDH17	O14917	0.183311306	5.59E-05
DNER	Q8NFT8	0.046361814	5.87E-05
PTH1R	Q03431	0.138041685	6.33E-05
PAMR1	Q6UXH9	0.274905038	6.43E-05
ROBO2	Q9HCK4	0.239023591	6.46E-05
CD99L2	Q8TCZ2	0.088974439	6.47E-05
CD27	P26842	0.229851815	6.77E-05
S100A11	P31949	0.133301819	6.78E-05
