gene name	UniProt ID	logFC	P.Value
WIF1	Q9Y5W5	-0.052918583	0.389365558
CST5	P28325	0.018352721	0.403146977
F7	P08709	0.038486936	0.412901286
DPP4	P27487	0.043203541	0.41590137
EDIL3	O43854	-0.046140383	0.438468706
ULBP2	Q9BZM5	0.050377065	0.448949418
MMP1	P03956	0.070251857	0.44933482
FAM3C	Q92520	-0.007080342	0.469915258
MFAP5	Q13361	0.044839377	0.470815773
TACSTD2	P09758	0.026628343	0.471332133
NPDC1	Q9NQX5	-0.006255223	0.543551502
SELE	P16581	-0.026221688	0.588908282
LGMN	Q99538	-0.028714252	0.5952304
CA12	O43570	-0.018154223	0.612585361
CTSF	Q9UBX1	-0.028137088	0.615560098
CD2AP	Q9Y5K6	0.034785401	0.619312085
RTN4R	Q9BZR6	0.015378796	0.636033347
CADM3	Q8N126	-0.005256744	0.641620883
FAM3B	P58499	0.033103088	0.647348491
PON2	Q15165	0.024327953	0.648800038
CTSC	P53634	0.020839968	0.675039144
CTRC	Q99895	0.024906733	0.706648877
ENTPD5	O75356	0.013948197	0.708853202
CDH3	P22223	-0.004856404	0.760027038
FOLR1	P15328	-0.008752965	0.762895906
IGFBP7	Q16270	-0.008937875	0.772600037
ARSB	P15848	-0.010503703	0.822260846
CTSV	O60911	-0.000928384	0.978707813
