gene name	UniProt ID	logFC	P.Value
COL1A1	P02452	-0.026127611	0.168447028
C5	P01031	-0.04794313	0.168677551
C1RL	Q9NZP8	-0.034576276	0.169467478
C3	P01024	-0.030490721	0.172471869
ORM1	P02763	-0.04649592	0.182348866
C9	P02748	-0.044657637	0.196013614
CFHR1	Q03591	-0.056334656	0.196782772
LGALS3BP	Q08380	-0.01890729	0.203130736
CPVL	Q9H3G5	-0.035694485	0.210602752
CDH2	P19022	0.026064595	0.21105635
NID1	P14543	0.023681247	0.212454224
A2M	P01023	0.026862579	0.213406506
EPHA4	P54764	-0.033195318	0.232136186
SOD3	P08294	-0.02877026	0.232157748
SORCS2	Q96PQ0	0.03066287	0.239223579
SIAE	Q9HAT2	-0.034351708	0.246639366
OMG	P23515	-0.030031762	0.249806711
CNTN1	Q12860	-0.02095324	0.259830654
SPOCK2	Q92563	0.025623007	0.262295506
PEBP4	Q96S96	-0.035724347	0.28764413
IGHG2	P01859	-0.051580211	0.302867301
FBLN1	P23142	-0.016061752	0.307697526
HBA1,HBA2	P69905	-0.140088951	0.321516815
MEGF8	Q7Z7M0	-0.023085917	0.329077666
PROS1	P07225	-0.016348065	0.332246194
KRT9	P35527	-0.060690922	0.347782384
C16orf89	Q6UX73	0.02213891	0.350460987
FUCA2	Q9BTY2	-0.031761846	0.354019678
APP	P05067	-0.025663028	0.367371853
SPARCL1	Q14515	-0.021413965	0.387156195
HBB	P68871	-0.120144644	0.395675836
CHL1	O00533	-0.02229518	0.396515425
AGT	P01019	-0.014943761	0.408911835
TIMP2	P16035	0.016882642	0.411226915
GRIA4	P48058	-0.024591604	0.416808688
C1S	P09871	0.012909811	0.433314158
C4BPA	P04003	-0.040911627	0.436916945
F10	P00742	-0.018831196	0.445780319
GPR37L1	O60883	-0.019831864	0.448824709
FRRS1L	Q9P0K9	-0.024273752	0.461906283
IGFBP4	P22692	0.013906574	0.462066487
APLP2	Q06481	0.021011522	0.462828922
RARRES2	Q99969	-0.017580383	0.462911121
CNTN2	Q02246	-0.015270389	0.472737828
PPIB	P23284	0.01655332	0.477450963
WFDC2	Q14508	-0.023373457	0.483825603
SERPINA1	P01009	-0.021968252	0.493620266
GLDN	Q6ZMI3	-0.019192191	0.494157886
AZGP1	P25311	-0.017305025	0.503171625
SEZ6	Q53EL9	0.013920244	0.508039158
PCOLCE	Q15113	0.01053203	0.511932203
CARTPT	Q16568	-0.020049831	0.515622941
OMD	Q99983	0.013640883	0.523240039
LSAMP	Q13449	0.013994073	0.527509926
AGA	P20933	-0.015623281	0.532520618
LRRC4B	Q9NT99	-0.01467584	0.537056898
LYZ	P61626	0.017745678	0.541643747
C4B,C4B_2	P0C0L5	0.017047098	0.547693641
ART3	Q13508	0.023289097	0.554088441
GOLM1	Q8NBJ4	-0.010651226	0.571117218
COL18A1	P39060	0.01077743	0.583214605
IGSF8	Q969P0	0.010861094	0.584098227
L1CAM	P32004	0.012090678	0.592794446
TGFBI	Q15582	0.008906046	0.598079856
CRTAC1	Q9NQ79	0.010839063	0.616163703
SPOCK1	Q08629	-0.011248103	0.621725046
PDGFB	P01127	-0.014439497	0.622556932
HSPA5	P11021	0.011156718	0.624283675
BPNT2	Q9NX62	-0.012026122	0.629117936
DNER	Q8NFT8	-0.012871068	0.637337765
CFH	P08603	0.008321523	0.645996894
IGLV3-21	P80748	-0.020015248	0.651070814
CPE	P16870	-0.010537157	0.657499872
DAG1	Q14118	-0.008504331	0.678126429
CNTN4	Q8IWV2	-0.011289825	0.686863987
APOE	P02649	-0.008739772	0.689706438
RNASE6	Q93091	0.00846284	0.694219435
GPR37	O15354	-0.009298809	0.745536251
TNFRSF21	O75509	-0.008245227	0.781455124
NCAN	O14594	0.006937325	0.788960634
CBLN1	P23435	-0.007849881	0.795001039
CNDP1	Q96KN2	-0.006566076	0.800915364
CTSB	P07858	-0.00541678	0.810544798
FSTL1	Q12841	-0.00440512	0.811730871
IL6ST	P40189	-0.005297267	0.813847208
HYOU1	Q9Y4L1	0.005306194	0.823683147
GPX3	P22352	-0.003443148	0.828867967
PI16	Q6UXB8	0.004445145	0.836874478
OGN	P20774	0.003636257	0.841001361
SPOCK3	Q9BQ16	-0.003996431	0.855935174
CST3	P01034	-0.003977777	0.863614606
SELENOP	P49908	0.003762698	0.863800567
FAM3C	Q92520	0.004268141	0.866267349
PPIC	P45877	-0.003558899	0.866639113
CSF1	P09603	-0.003152376	0.874245148
